Code du département;Code de la commune;Code INSEE;Libellé de la commune;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Nom_candidat_RN;Prénom_candidat_RN;Voix_RN;Pct_RN_exp;Nom_candidat_2;Voix_candidat_2
09;507;09507;Commune_09507;56949;20649;36300;393;0;35907;RASSEMBLEMENT NATIONAL;;14894;41.48;MACRON;21013
72;072;72072;Commune_72072;56682;19247;37435;425;0;37010;RASSEMBLEMENT NATIONAL;;15766;42.6;MACRON;21244
61;471;61471;Commune_61471;29088;9715;19373;297;0;19076;RASSEMBLEMENT NATIONAL;;7797;40.88;MACRON;11279
41;071;41071;Commune_41071;45476;11548;33928;1056;0;32872;RASSEMBLEMENT NATIONAL;;16191;49.26;MACRON;16681
41;433;41433;Commune_41433;23412;5117;18295;340;0;17955;RASSEMBLEMENT NATIONAL;;8353;46.52;MACRON;9602
81;053;81053;Commune_81053;51370;19752;31618;490;0;31128;RASSEMBLEMENT NATIONAL;;14043;45.11;MACRON;17085
08;293;08293;Commune_08293;25632;10219;15413;555;0;14858;RASSEMBLEMENT NATIONAL;;7013;47.21;MACRON;7845
65;395;65395;Commune_65395;50388;18842;31546;780;0;30766;RASSEMBLEMENT NATIONAL;;11520;37.45;MACRON;19246
19;437;19437;Commune_19437;31574;11780;19794;636;0;19158;RASSEMBLEMENT NATIONAL;;8602;44.9;MACRON;10556
09;251;09251;Commune_09251;49418;13688;35730;1172;0;34558;RASSEMBLEMENT NATIONAL;;14201;41.09;MACRON;20357
49;553;49553;Commune_49553;62402;20902;41500;973;0;40527;RASSEMBLEMENT NATIONAL;;21320;52.61;MACRON;19207
95;464;95464;Commune_95464;54384;14731;39653;845;0;38808;RASSEMBLEMENT NATIONAL;;20039;51.64;MACRON;18769
69;125;69125;Commune_69125;62642;25626;37016;1124;0;35892;RASSEMBLEMENT NATIONAL;;16043;44.7;MACRON;19849
71;403;71403;Commune_71403;43421;18705;24716;981;0;23735;RASSEMBLEMENT NATIONAL;;8384;35.33;MACRON;15351
67;438;67438;Commune_67438;24735;8763;15972;273;0;15699;RASSEMBLEMENT NATIONAL;;5910;37.65;MACRON;9789
74;200;74200;Commune_74200;24342;9186;15156;298;0;14858;RASSEMBLEMENT NATIONAL;;7420;49.95;MACRON;7438
48;443;48443;Commune_48443;31712;12870;18842;337;0;18505;RASSEMBLEMENT NATIONAL;;9390;50.75;MACRON;9115
12;539;12539;Commune_12539;61691;26201;35490;707;0;34783;RASSEMBLEMENT NATIONAL;;14619;42.03;MACRON;20164
80;490;80490;Commune_80490;38625;13711;24914;830;0;24084;RASSEMBLEMENT NATIONAL;;10972;45.56;MACRON;13112
42;457;42457;Commune_42457;76180;25488;50692;1190;0;49502;RASSEMBLEMENT NATIONAL;;17606;35.57;MACRON;31896
47;381;47381;Commune_47381;37679;16703;20976;754;0;20222;RASSEMBLEMENT NATIONAL;;10257;50.73;MACRON;9965
35;163;35163;Commune_35163;68558;22535;46023;945;0;45078;RASSEMBLEMENT NATIONAL;;22357;49.6;MACRON;22721
17;477;17477;Commune_17477;30485;11129;19356;761;0;18595;RASSEMBLEMENT NATIONAL;;7762;41.74;MACRON;10833
88;219;88219;Commune_88219;73944;15966;57978;1045;0;56933;RASSEMBLEMENT NATIONAL;;25466;44.73;MACRON;31467
73;319;73319;Commune_73319;52138;12876;39262;623;0;38639;RASSEMBLEMENT NATIONAL;;18185;47.06;MACRON;20454
60;189;60189;Commune_60189;37139;9917;27222;377;0;26845;RASSEMBLEMENT NATIONAL;;11190;41.68;MACRON;15655
38;188;38188;Commune_38188;31300;10169;21131;684;0;20447;RASSEMBLEMENT NATIONAL;;9581;46.86;MACRON;10866
78;095;78095;Commune_78095;28364;7521;20843;589;0;20254;RASSEMBLEMENT NATIONAL;;8276;40.86;MACRON;11978
51;576;51576;Commune_51576;28651;9918;18733;325;0;18408;RASSEMBLEMENT NATIONAL;;7892;42.88;MACRON;10516
42;089;42089;Commune_42089;32687;12446;20241;398;0;19843;RASSEMBLEMENT NATIONAL;;9280;46.77;MACRON;10563
42;052;42052;Commune_42052;26273;10460;15813;178;0;15635;RASSEMBLEMENT NATIONAL;;6338;40.54;MACRON;9297
22;561;22561;Commune_22561;53925;14932;38993;415;0;38578;RASSEMBLEMENT NATIONAL;;16964;43.97;MACRON;21614
09;333;09333;Commune_09333;25271;9159;16112;164;0;15948;RASSEMBLEMENT NATIONAL;;8079;50.66;MACRON;7869
52;263;52263;Commune_52263;78101;17874;60227;1686;0;58541;RASSEMBLEMENT NATIONAL;;30601;52.27;MACRON;27940
84;442;84442;Commune_84442;37393;12761;24632;508;0;24124;RASSEMBLEMENT NATIONAL;;11134;46.16;MACRON;12990
06;230;06230;Commune_06230;68130;19499;48631;1078;0;47553;RASSEMBLEMENT NATIONAL;;17847;37.53;MACRON;29706
81;077;81077;Commune_81077;31501;11988;19513;389;0;19124;RASSEMBLEMENT NATIONAL;;8188;42.82;MACRON;10936
78;438;78438;Commune_78438;51153;21968;29185;975;0;28210;RASSEMBLEMENT NATIONAL;;12492;44.28;MACRON;15718
26;106;26106;Commune_26106;17303;3569;13734;244;0;13490;RASSEMBLEMENT NATIONAL;;6081;45.08;MACRON;7409
59;332;59332;Commune_59332;37675;12480;25195;482;0;24713;RASSEMBLEMENT NATIONAL;;9839;39.81;MACRON;14874
16;569;16569;Commune_16569;23278;5771;17507;430;0;17077;RASSEMBLEMENT NATIONAL;;7805;45.71;MACRON;9272
71;561;71561;Commune_71561;60105;21534;38571;1247;0;37324;RASSEMBLEMENT NATIONAL;;14958;40.08;MACRON;22366
66;217;66217;Commune_66217;74099;22240;51859;1659;0;50200;RASSEMBLEMENT NATIONAL;;22233;44.29;MACRON;27967
33;468;33468;Commune_33468;27444;10503;16941;502;0;16439;RASSEMBLEMENT NATIONAL;;7489;45.56;MACRON;8950
07;367;07367;Commune_07367;35312;14854;20458;403;0;20055;RASSEMBLEMENT NATIONAL;;8964;44.7;MACRON;11091
95;288;95288;Commune_95288;62789;21878;40911;1361;0;39550;RASSEMBLEMENT NATIONAL;;19781;50.02;MACRON;19769
42;084;42084;Commune_42084;26147;8828;17319;338;0;16981;RASSEMBLEMENT NATIONAL;;7205;42.43;MACRON;9776
