CODGEO;PMUN;annee
09507;32425;2012
72072;37080;2012
61471;33401;2012
41071;63701;2012
41433;48478;2012
81053;89243;2012
08293;41609;2012
65395;59875;2012
19437;71671;2012
09251;67653;2012
49553;82228;2012
95464;37740;2012
69125;57381;2012
71403;79884;2012
67438;85133;2012
74200;67257;2012
48443;70934;2012
12539;83248;2012
80490;68111;2012
42457;93688;2012
47381;32247;2012
35163;46002;2012
17477;31044;2012
88219;27963;2012
73319;56576;2012
60189;37906;2012
38188;52052;2012
78095;52463;2012
51576;66269;2012
42089;89945;2012
42052;86099;2012
22561;49864;2012
09333;46338;2012
52263;79092;2012
84442;30825;2012
06230;59662;2012
81077;51633;2012
78438;35257;2012
26106;68774;2012
59332;44728;2012
16569;35970;2012
71561;71048;2012
66217;35563;2012
33468;70236;2012
07367;34707;2012
95288;54085;2012
42084;81023;2012
85226;39337;2012
64391;76812;2012
73591;76099;2012
71003;88683;2012
19430;34943;2012
34507;75786;2012
44570;91012;2012
47254;75540;2012
05071;35282;2012
51163;83877;2012
15510;30060;2012
70526;66505;2012
64382;57923;2012
87074;60785;2012
70074;61230;2012
35287;24678;2012
91353;58663;2012
39020;87793;2012
31411;55105;2012
86327;42939;2012
35008;94332;2012
08058;29307;2012
44273;56477;2012
74433;59105;2012
18495;55740;2012
44259;87734;2012
13177;53885;2012
64581;92283;2012
45275;27385;2012
31189;75458;2012
22265;63603;2012
53008;39230;2012
63181;37848;2012
89309;75401;2012
41551;70236;2012
15443;67666;2012
79468;26139;2012
59327;67070;2012
66067;95195;2012
10235;23359;2012
30598;56960;2012
72027;57796;2012
79527;85210;2012
41411;43173;2012
76171;57469;2012
80467;73122;2012
37502;27123;2012
85026;78318;2012
27064;83182;2012
23399;76629;2012
64599;68523;2012
60015;78470;2012
13399;80616;2012
79082;89235;2012
19390;54706;2012
76374;55803;2012
01055;68547;2012
76408;36475;2012
74538;84056;2012
73518;77424;2012
62018;66360;2012
44148;43697;2012
66145;48241;2012
26272;55189;2012
73086;72370;2012
52512;77408;2012
43466;71349;2012
48485;90293;2012
53119;90331;2012
04009;73817;2012
14546;48671;2012
23174;67476;2012
11394;52251;2012
41545;69289;2012
63022;83219;2012
61004;49653;2012
44004;57911;2012
81094;24966;2012
53031;77910;2012
08492;56289;2012
72363;54281;2012
54588;62614;2012
60481;38357;2012
53577;66621;2012
52143;74841;2012
09173;47494;2012
53509;32219;2012
74147;49723;2012
29035;35823;2012
